"spikeFac","species","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","metric","time","amend"
"US","L",-1.16789661473686,0.588813548462623,18,-2.40494797629452,0.0691547468207956,-1.98347442545473,0.0627818591290549,"InvSimpson.c","TP1","RW"
"SL1","L",0.283238971388994,0.588813548462623,18,-0.953812390168665,1.52029033294665,0.481033379969812,0.636288097558372,"InvSimpson.c","TP1","RW"
"SL2","L",0.361498734521541,0.588813548462623,18,-0.875552627036118,1.5985500960792,0.613944321535068,0.546933796856488,"InvSimpson.c","TP1","RW"
"US","R",0.166640830876219,0.588813548462623,18,-1.07041053068144,1.40369219243388,0.283011203310987,0.780397259027092,"InvSimpson.c","TP1","RW"
"SL1","R",-0.208771688085611,0.588813548462623,18,-1.44582304964327,1.02827967347205,-0.354563322516455,0.727036759371795,"InvSimpson.c","TP1","RW"
"SL2","R",-0.0931464038674398,0.588813548462623,18,-1.3301977654251,1.14390495769022,-0.158193377361378,0.876065640152548,"InvSimpson.c","TP1","RW"
"US","P",-0.480341250766493,0.588813548462623,18,-1.71739261232415,0.756710110791166,-0.815778189922178,0.4252910923669,"InvSimpson.c","TP1","RW"
"SL1","P",-1.06072826573376,0.588813548462623,18,-2.29777962729142,0.176323095823898,-1.80146715119463,0.0884049987115961,"InvSimpson.c","TP1","RW"
"SL2","P",-0.147968402666936,0.588813548462623,18,-1.3850197642246,1.08908295889072,-0.251299249233103,0.804429256214934,"InvSimpson.c","TP1","RW"
"US","L",1.16908064032874,0.236459755927265,18,0.672297127471129,1.66586415318635,4.94409983527321,0.000104797073473804,"InvSimpson.c","TP2","RW"
"SL1","L",1.47678690250863,0.236459755927265,18,0.980003389651023,1.97357041536624,6.24540483312893,6.84467924178852e-06,"InvSimpson.c","TP2","RW"
"SL2","L",1.28161920139373,0.236459755927265,18,0.784835688536123,1.77840271425134,5.42003097469133,3.77509890938319e-05,"InvSimpson.c","TP2","RW"
"US","R",1.19546298106749,0.236459755927265,18,0.698679468209884,1.6922464939251,5.05567205878033,8.23153066011269e-05,"InvSimpson.c","TP2","RW"
"SL1","R",0.982475866139771,0.236459755927265,18,0.485692353282163,1.47925937899738,4.15493901821492,0.000594905814615724,"InvSimpson.c","TP2","RW"
"SL2","R",0.729492581612542,0.236459755927265,18,0.232709068754934,1.22627609447015,3.08506019872969,0.00638450594702511,"InvSimpson.c","TP2","RW"
"US","P",1.13387629580189,0.236459755927265,18,0.637092782944281,1.6306598086595,4.7952189215262,0.000144902166943216,"InvSimpson.c","TP2","RW"
"SL1","P",0.882678247537246,0.236459755927265,18,0.385894734679638,1.37946176039485,3.7328899544697,0.00152290189881033,"InvSimpson.c","TP2","RW"
"SL2","P",1.42653353804373,0.236459755927265,18,0.929750025186119,1.92331705090134,6.03288086993766,1.05367658371803e-05,"InvSimpson.c","TP2","RW"
"US","L",1.8688752562021,0.0492402478937205,18,1.76542533413525,1.97232517826895,37.9542211126934,1.23860802951157e-18,"Shannon","TP1","BS"
"SL1","L",1.86211211867778,0.0492402478937205,18,1.75866219661093,1.96556204074463,37.8168713264185,1.32111669935674e-18,"Shannon","TP1","BS"
"SL2","L",1.86898824987156,0.0492402478937205,18,1.76553832780471,1.97243817193841,37.9565158547853,1.23727661978419e-18,"Shannon","TP1","BS"
