"treatment","SE","df","null","p.value","trait","amend","spikeFac","amend_spike","emmean","LCL","UCL","stat"
"Saline Control",0.617808276986722,48,1,7.83878001545965e-27,"plant_height1","saline","0","saline-0",7.01730435064105,5.87885190570676,8.3762205851324,22.1304407627179
"10SL1-RW-P",1.08970517381366,48,1,2.22743653540826e-20,"plant_height1","RW","1","RW-1",8.10283901904389,6.18307397298922,10.6186664522143,15.557306384709
"11SL1-RW-P",0.634456087148957,48,1,1.92621637489039e-15,"plant_height1","RW","1","RW-1",4.71769398031652,3.59995438557595,6.18247736168299,11.5353193458631
"12SL1-RW-P",0.984238821826779,48,1,1.62820725280396e-19,"plant_height1","RW","1","RW-1",7.31861142004593,5.58464948931532,9.59094625725445,14.8003865605382
"19SL2-RW-P",0.963291178687957,48,1,2.50021719749012e-19,"plant_height1","RW","2","RW-2",7.16284875665669,5.46579089324769,9.38682128767877,14.6404211986918
"1US-RW-P",0.50831905339859,48,1,3.66830357850673e-13,"plant_height1","RW","0","RW-0",3.77976314968462,2.8842428067436,4.95333105600904,9.88710719057043
"20SL2-RW-P",0.956693086829545,48,1,2.86922353263408e-19,"plant_height1","RW","2","RW-2",7.11378660898012,5.42835279437334,9.32252597335964,14.5893141748514
"21SL2-RW-P",1.12462462871307,48,1,1.21856070987705e-20,"plant_height1","RW","2","RW-2",8.36249339940477,6.38120974212011,10.9589401823759,15.7918476959101
"28US-BS-P",0.90624497388897,48,1,8.58472199414724e-19,"plant_height1","BS","0","BS-0",6.73866410080533,5.14210618234924,8.83093274490424,14.1864942944798
"29US-BS-P",0.954028189775242,48,1,3.03435821267178e-19,"plant_height1","BS","0","BS-0",7.0939709447507,5.41323195617497,9.29655779992232,14.5685726074438
"2US-RW-P",0.771778015872217,48,1,2.48571833117357e-17,"plant_height1","RW","0","RW-0",5.73879354831716,4.37912994958467,7.52061522936314,12.9922090433991
"30US-BS-P",1.09514020224609,48,1,2.02445683380076e-20,"plant_height1","BS","0","BS-0",8.14325284978471,6.21391275732334,10.6716282582781,15.59430114374
"37SL1-BS-P",0.799364579432909,48,1,1.17285154861101e-17,"plant_height1","BS","1","BS-1",5.94392195276313,4.53565830904852,7.78943336848293,13.2533559168392
"38SL1-BS-P",1.07183223507909,48,1,3.06352830216995e-20,"plant_height1","BS","1","BS-1",7.96993926886957,6.08166149467288,10.4445030367291,15.4343357818937
"39SL1-BS-P",0.98423882182678,48,1,1.62820725280402e-19,"plant_height1","BS","1","BS-1",7.31861142004594,5.58464948931532,9.59094625725445,14.8003865605382
"3US-RW-P",1.04746392119211,48,1,4.78568968345731e-20,"plant_height1","RW","0","RW-0",7.78874115277665,5.94339374025549,10.2070452331076,15.2633298546164
"46SL2-BS-P",1.02903735449629,48,1,6.7676786733178e-20,"plant_height1","BS","2","BS-2",7.65172473108955,5.83883993277955,10.0274869724842,15.1313578496618
"47SL2-BS-P",0.762129779234896,48,1,3.25994668687392e-17,"plant_height1","BS","2","BS-2",5.66705110809706,4.32438508622984,7.42659768299764,12.8986657592401
"48SL2-BS-P",0.98256209145583,48,1,1.68432150308175e-19,"plant_height1","BS","2","BS-2",7.3061435740628,5.57513558760552,9.57460730524499,14.7877082574935
"55Control",0.799364579432909,48,1,1.17285154861106e-17,"plant_height1","control","0","control-0",5.94392195276312,4.53565830904852,7.78943336848293,13.2533559168392
"56Control",1.00713626016789,48,1,1.03282212473781e-19,"plant_height1","control","0","control-0",7.4888723872185,5.71457137870081,9.81407106770518,14.9713924878154
"57Control",1.07024197720193,48,1,3.15272097914606e-20,"plant_height1","control","0","control-0",7.95811441579278,6.07263824478211,10.429006718664,15.4232952164628
"Saline Control",0.947213344468284,48,1,7.4570106522673e-31,"plant_height2","saline","0","saline-0",10.8328176371323,9.08633667660454,12.9149889703644,27.2484091663167
"10SL1-RW-P",1.57446399686276,48,1,1.87398556095631e-23,"plant_height2","RW","1","RW-1",11.7879413343611,9.01171464599993,15.4194364070346,18.4708955176243
"11SL1-RW-P",0.863275382061756,48,1,1.55230366919403e-18,"plant_height2","RW","1","RW-1",6.46330407009565,4.94110466772092,8.45444537441529,13.9717113780032
"12SL1-RW-P",1.48271199427834,48,1,5.2836636567417e-23,"plant_height2","RW","1","RW-1",11.1009982058231,8.48655632727215,14.5208676421168,18.0213633414807
"19SL2-RW-P",1.37877160257472,48,1,1.90207421003262e-22,"plant_height2","RW","2","RW-2",10.3228011545637,7.89163567358121,13.5029324824754,17.4772123409101
"1US-RW-P",0.830039032557022,48,1,3.52375841887984e-18,"plant_height2","RW","0","RW-0",6.21446501190772,4.75087072257629,8.12894680562528,13.6777659427595
"20SL2-RW-P",1.26373468381862,48,1,9.18448370511478e-22,"plant_height2","RW","2","RW-2",9.4615249029094,7.23320214467823,12.3763240260385,16.8249369183696
"21SL2-RW-P",1.44452460422727,48,1,8.34055704025447e-23,"plant_height2","RW","2","RW-2",10.8150909291046,8.26798425264773,14.1468812990715,17.8260094724582
"28US-BS-P",1.40741893267789,48,1,1.31989765040379e-22,"plant_height2","BS","0","BS-0",10.5372824302963,8.05560357934085,13.783488713445,17.6311780023651
"29US-BS-P",1.45622931276347,48,1,7.23940768549738e-23,"plant_height2","BS","0","BS-0",10.9027235569928,8.33497815886154,14.2615107915823,17.8864303878499
"2US-RW-P",1.04578364935297,48,1,3.28391293646265e-20,"plant_height2","RW","0","RW-0",7.82973528233773,5.98572202870313,10.241831193883,15.4076198944957
"30US-BS-P",1.48918680127804,48,1,4.89759789828279e-23,"plant_height2","BS","0","BS-0",11.1494747954535,8.52361599531504,14.584278348858,18.0539867042972
"37SL1-BS-P",1.04578364935297,48,1,3.28391293646267e-20,"plant_height2","BS","1","BS-1",7.82973528233773,5.98572202870313,10.241831193883,15.4076198944957
"38SL1-BS-P",1.42327850909379,48,1,1.08268517818487e-22,"plant_height2","BS","1","BS-1",10.6560223676661,8.146378584264,13.9388087020092,17.7150733548466
"39SL1-BS-P",1.23991362010959,48,1,1.30303861942182e-21,"plant_height2","BS","1","BS-1",9.28317766722556,7.09685820214428,12.1430335997466,16.6824627398578
"3US-RW-P",1.53301133267701,48,1,2.96330640751365e-23,"plant_height2","RW","0","RW-0",11.4775870966343,8.7744532149969,15.0134717609151,18.2711367967349
"46SL2-BS-P",1.27993817492265,48,1,7.2756160014768e-22,"plant_height2","BS","2","BS-2",9.58283971412557,7.32594560428696,12.535012126337,16.9203237537943
"47SL2-BS-P",1.02010295220413,48,1,5.34051826110738e-20,"plant_height2","BS","2","BS-2",7.63746505448923,5.83873415532092,9.99032853814496,15.2214720854297
"48SL2-BS-P",1.31301383862476,48,1,4.57583243314582e-22,"plant_height2","BS","2","BS-2",9.83047572491559,7.51525983668888,12.8589370265516,17.1113411287323
"55Control",1.49115402523129,48,1,4.78639535517563e-23,"plant_height2","control","0","control-0",11.1642033129672,8.53487573891463,14.6035442607531,18.0638704863947
"56Control",1.39915048334406,48,1,1.4652212840948e-22,"plant_height2","control","0","control-0",10.4753769209499,8.00827769185795,13.7025120579344,17.5870631566053
"57Control",1.42435593456891,48,1,1.06832371892038e-22,"plant_height2","control","0","control-0",10.6640890038789,8.15254541370782,13.9493604158814,17.720738854936
"Saline Control",1.81648318442151,48,1,4.6587853501861e-24,"plant_height3","saline","0","saline-0",13.3711750834155,10.1752182856297,17.5709570146375,19.0878789733027
"10SL1-RW-P",3.10818728969385,48,1,2.14739798095331e-17,"plant_height3","RW","1","RW-1",14.9781088079968,9.86854251128806,22.7332195415461,13.0428418821364
"11SL1-RW-P",1.31764025395248,48,1,9.71359633483409e-12,"plant_height3","RW","1","RW-1",6.34960420787281,4.18352809813955,9.6371944088449,8.90725722979686
"12SL1-RW-P",2.9002654432154,48,1,5.66514752881396e-17,"plant_height3","RW","1","RW-1",13.9761498686369,9.20838744669405,21.2124833236383,12.7091921990624
"19SL2-RW-P",1.50356690191392,48,1,1.14365570140021e-12,"plant_height3","RW","2","RW-2",7.24557002457454,4.77384806871296,10.997058185634,9.54334404506333
"1US-RW-P",1.88382947715066,48,1,3.30137171872473e-14,"plant_height3","RW","0","RW-0",9.07802531013298,5.98118760118538,13.7782910395725,10.6298489987189
"20SL2-RW-P",2.76409790100219,48,1,1.12058039096002e-16,"plant_height3","RW","2","RW-2",13.3199692484568,8.7760534031683,20.2165566490039,12.4774602199643
"21SL2-RW-P",3.00777928962322,48,1,3.39593495456442e-17,"plant_height3","RW","2","RW-2",14.4942505941633,9.54974556476684,21.9988374414385,12.884599783866
"28US-BS-P",2.97721918596512,48,1,3.9187076054076e-17,"plant_height3","BS","0","BS-0",14.3469838707929,9.45271676502258,21.7753214557784,12.8353874059988
"29US-BS-P",2.79217495293738,48,1,9.7036942273215e-17,"plant_height3","BS","0","BS-0",13.4552703418908,8.86519847545298,20.4219116441287,12.5261627400335
"2US-RW-P",1.87223814091014,48,1,3.63077195689872e-14,"plant_height3","RW","0","RW-0",9.02216757722985,5.94438493011356,13.6935122386266,10.6001062379883
"30US-BS-P",2.94805916347593,48,1,4.49989084006824e-17,"plant_height3","BS","0","BS-0",14.2064640278816,9.36013324455106,21.5620456357269,12.7879563929519
"37SL1-BS-P",1.99478122070422,48,1,1.37415561159979e-14,"plant_height3","BS","1","BS-1",9.61269299019606,6.33346109563998,14.5897898681933,10.905624854566
"38SL1-BS-P",3.01895719156105,48,1,3.22407690633436e-17,"plant_height3","BS","1","BS-1",14.5481160198489,9.58523557556066,22.0805923921807,12.9024752916535
"39SL1-BS-P",2.47147797402093,48,1,5.62793605686619e-16,"plant_height3","BS","1","BS-1",11.9098569555952,7.84698062861583,18.0763403678443,11.9382326839995
"3US-RW-P",2.9666379625897,48,1,4.11958761065647e-17,"plant_height3","RW","0","RW-0",14.2959937919247,9.41912121785333,21.6979306000828,12.8182301522298
"46SL2-BS-P",3.02864097285731,48,1,3.08281682539923e-17,"plant_height3","BS","2","BS-2",14.5947813962917,9.61598173030784,22.1514193744961,12.9179080023125
"47SL2-BS-P",1.3028925478633,48,1,1.16807982298664e-11,"plant_height3","BS","2","BS-2",6.27853617821946,4.1367039041897,9.52932998208682,8.85301728294534
"48SL2-BS-P",2.74624362779071,48,1,1.22911151212192e-16,"plant_height3","BS","2","BS-2",13.2339309174541,8.7193658107636,20.0859708525761,12.4462321620858
"55Control",2.76643515855889,48,1,1.10716033892071e-16,"plant_height3","control","0","control-0",13.3312323078332,8.78347423190492,20.2336513039296,12.4815332667848
"56Control",2.5106704980005,48,1,4.47522132898198e-16,"plant_height3","control","0","control-0",12.0987226299941,7.9714174958212,18.3629937027219,12.0140512074651
"57Control",2.81293855262091,48,1,8.73372205824579e-17,"plant_height3","control","0","control-0",13.5553284871437,8.93112322421044,20.5737761960634,12.561865354385
"Saline Control",0.0342676833592069,23,1,5.20592879307232e-06,"chlorophyll_content1_mean","saline","0","saline-0",0.768919922393612,0.701201324540068,0.843178451554698,-5.89616437671644
"10SL1-RW-P",0.0400180873655127,23,1,6.17606675620329e-05,"chlorophyll_content1_mean","RW","1","RW-1",0.77764848075167,0.699118802437527,0.864999135349989,-4.88687947117038
"11SL1-RW-P",0.0668905912499713,23,1,0.00378727406565661,"chlorophyll_content1_mean","RW","1","RW-1",0.750466667,0.624100651473341,0.902418891806182,-3.22061727796947
"12SL1-RW-P",0.0389845030343389,23,1,1.75881201491836e-05,"chlorophyll_content1_mean","RW","1","RW-1",0.757563430771028,0.681062011436287,0.842657998838124,-5.39537408973721
"19SL2-RW-P",0.0407421621295398,23,1,0.00014707956950869,"chlorophyll_content1_mean","RW","2","RW-2",0.791719009286764,0.711768439519836,0.880650159325512,-4.53841829978888
"1US-RW-P",0.0396839983343326,23,1,4.12299830656037e-05,"chlorophyll_content1_mean","RW","0","RW-0",0.771156320715133,0.69328224355222,0.857777732676213,-5.04979109395949
"20SL2-RW-P",0.049509651070619,23,1,0.00085764415123051,"chlorophyll_content1_mean","RW","2","RW-2",0.785545302462188,0.689522445329968,0.894940297302592,-3.82981260912914
"21SL2-RW-P",0.0703102887340572,23,1,0.0139511979716321,"chlorophyll_content1_mean","RW","2","RW-2",0.788833333,0.656007013605558,0.94855392449514,-2.66122416072126
"28US-BS-P",0.0707559487093187,23,1,0.0163597957362494,"chlorophyll_content1_mean","BS","0","BS-0",0.793833333,0.660165097361418,0.954566309398346,-2.59033524037829
"29US-BS-P",0.0700904298723494,23,1,0.0128848714604401,"chlorophyll_content1_mean","BS","0","BS-0",0.786366667,0.653955692840412,0.945587815411209,-2.69636170190637
"2US-RW-P",0.0397033913278873,23,1,4.22108825677412e-05,"chlorophyll_content1_mean","RW","0","RW-0",0.77153317360761,0.69362104051435,0.858196916194492,-5.04029706974291
"30US-BS-P",0.0439356767897776,23,1,7.87323214881512e-06,"chlorophyll_content1_mean","BS","0","BS-0",0.697105791827898,0.611893532719575,0.79418470536885,-5.72492344114841
"38SL1-BS-P",0.0418285959269973,23,1,1.22778318170762e-06,"chlorophyll_content1_mean","BS","1","BS-1",0.663673775284213,0.582548152221137,0.756096948073057,-6.50470608137405
"39SL1-BS-P",0.0510729878250867,23,1,0.00286623100312202,"chlorophyll_content1_mean","BS","1","BS-1",0.810349998457457,0.711295084775096,0.923199293873416,-3.33655265914763
"3US-RW-P",0.040400568645628,23,1,9.78213174200423e-05,"chlorophyll_content1_mean","RW","0","RW-0",0.785081019535469,0.705800777317202,0.873266546372546,-4.7020319445791
"46SL2-BS-P",0.0344125731788861,23,1,6.33161368737929e-08,"chlorophyll_content1_mean","BS","2","BS-2",0.668719746820753,0.601190075124631,0.743834800824528,-7.8194177683996
"47SL2-BS-P",0.0490583573621905,23,1,0.000598408712990566,"chlorophyll_content1_mean","BS","2","BS-2",0.778384846974811,0.683237263861938,0.886782677184936,-3.97510326957656
"48SL2-BS-P",0.050598802073742,23,1,0.00200200496828078,"chlorophyll_content1_mean","BS","2","BS-2",0.80282632617522,0.704691085115689,0.914627875410383,-3.48455294205172
"55Control",0.0705836268819282,23,1,0.0153874292152971,"chlorophyll_content1_mean","control","0","control-0",0.7919,0.658557305253025,0.952241520969932,-2.61769253149585
