"contrast","species","timepoint","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","amend","eff","LCL","UCL","treat","metric","amendment","pval","sig","stat","df.r","stat.f","eff_fmt"
"L / P",NA,"TP2",0.05425611131530218,35.69140243631574,0.9034988281029878,1.1695698579397829,1,0.5225015911944856,0.8608834971807946,"BS",0.03978633539782318,-0.14640536506600374,0.22597803586164997,"SL-0","Shannon","BS",0.861,", p > 0.1",0.523,40,"t = 0.523, df = 40, p > 0.1","0.0398 [-0.146 to 0.226]"
"R / P",NA,"TP2",0.05257620843494957,35.69140243631574,0.875524278380746,1.1333570935986625,1,-0.07340134826830669,0.9970342627755907,"BS",-0.005589209124089122,-0.19178090958791583,0.18060249133973766,"SL-0","Shannon","BS",0.997,", p > 0.1",-0.0734,40,"t = -0.0734, df = 40, p > 0.1","-0.00559 [-0.192 to 0.181]"
"L / R",NA,"TP2",0.05436008623338628,35.69140243631574,0.9052302683843444,1.1718111894179313,1,0.5587753313164179,0.8426536711165066,"BS",0.04254843070039508,-0.14364326976343172,0.2287401311642219,"SL-1","Shannon","BS",0.843,", p > 0.1",0.559,40,"t = 0.559, df = 40, p > 0.1","0.0425 [-0.144 to 0.229]"
"L / P",NA,"TP2",0.05431835445067464,35.69140243631574,0.9045353306923397,1.170911599786563,1,0.544224702140672,0.8500630450677962,"BS",0.041440460461850584,-0.1447512400019761,0.22763216092567748,"SL-1","Shannon","BS",0.85,", p > 0.1",0.544,40,"t = 0.544, df = 40, p > 0.1","0.0414 [-0.145 to 0.228]"
"R / P",NA,"TP2",0.05273977234676723,35.69140243631574,0.8782480232099392,1.136882953017465,1,-0.014550629175745924,0.9998832794492911,"BS",-0.0011079702385443878,-0.18729967070237122,0.18508373022528232,"SL-1","Shannon","BS",1,", p > 0.1",-0.0146,40,"t = -0.0146, df = 40, p > 0.1","-0.00111 [-0.187 to 0.185]"
"L / R",NA,"TP2",0.056938610035058144,35.69140243631574,0.9481690853501881,1.2273950424310973,1,1.436820785673084,0.33325109204953907,"BS",0.10940796094929921,-0.07678373951452766,0.2955996614131261,"SL-2","Shannon","BS",0.333,", p > 0.1",1.44,40,"t = 1.44, df = 40, p > 0.1","0.109 [-0.0768 to 0.296]"
"L / P",NA,"TP2",0.05497962114587312,35.69140243631574,0.9155470613470366,1.1851661708572594,1,0.7734845730364376,0.7215051836969986,"BS",0.05889765154115083,-0.1272940489226759,0.2450893520049778,"SL-2","Shannon","BS",0.722,", p > 0.1",0.773,40,"t = 0.773, df = 40, p > 0.1","0.0589 [-0.127 to 0.245]"
"R / P",NA,"TP2",0.050964370569194985,35.69140243631574,0.8486831799773193,1.0986115702286368,1,-0.6633362126366462,0.7860551304967165,"BS",-0.050510309408148275,-0.23670200987197515,0.13568139105567856,"SL-2","Shannon","BS",0.786,", p > 0.1",-0.663,40,"t = -0.663, df = 40, p > 0.1","-0.0505 [-0.237 to 0.136]"
"TP2 / TP1","L",NA,0.05126133492254886,17.999999999999993,0.9175861298524051,1.1333788550925856,1,0.389866542462718,0.7012099022059137,"BS",0.028272840562557282,-0.12408451101443138,0.18063019213954565,"SL-0","Shannon","BS",0.701,", p > 0.1",0.39,20,"t = 0.39, df = 20, p > 0.1","0.0283 [-0.124 to 0.181]"
"TP2 / TP1","L",NA,0.050676151898665894,17.999999999999993,0.9071112597197525,1.1204405641442483,1,0.16145732582259648,0.8735316581090867,"BS",0.011708768856654688,-0.14064858272033393,0.1640661204336432,"SL-1","Shannon","BS",0.874,", p > 0.1",0.161,20,"t = 0.161, df = 20, p > 0.1","0.0117 [-0.141 to 0.164]"
