"metric","species","timepoint","trait","r","p_value","p_adj","p_cat","tp_species","trait_abbrev"
"InvSimpson","R","TP1","direct.dry_total_weight",0.0844838455734548,0.715784099023921,0.882738844732058,"ns","TP1_R","Total weight"
"InvSimpson","R","TP1","direct.per_plant_weight",0.0844838455734548,0.715784099023921,0.882738844732058,"ns","TP1_R","Per plant weight"
"InvSimpson","R","TP1","direct.shoot_moisture",0.128539367933405,0.578699957298587,0.870564357099563,"ns","TP1_R","Shoot moisture"
"InvSimpson","R","TP1","direct.germination_perc",0.340079622114963,0.131454944243284,0.808562851165759,"ns","TP1_R","Germination"
"InvSimpson","R","TP1","direct.survival_perc.corr",0.291100349467519,0.200458198235072,0.808562851165759,"ns","TP1_R","Survival (%)"
"InvSimpson","L","TP2","direct.shoot_root_ratio",0.058249926375137,0.801967198853529,0.91653394154689,"ns","TP2_L","Shoot:root"
"InvSimpson","L","TP2","direct.dry_total_weight",-0.0350246159526812,0.880196217196845,0.931972465267248,"ns","TP2_L","Total weight"
"InvSimpson","L","TP2","direct.per_plant_weight",0.0361465533831418,0.87638647393337,0.931972465267248,"ns","TP2_L","Per plant weight"
"InvSimpson","L","TP2","direct.shoot_moisture",-0.206115455517158,0.370048728791344,0.808562851165759,"ns","TP2_L","Shoot moisture"
"InvSimpson","L","TP2","direct.germination_perc",-0.240730931315017,0.293177702394815,0.808562851165759,"ns","TP2_L","Germination"
"InvSimpson","L","TP2","direct.survival_perc.corr",-0.261567768647505,0.252069793747194,0.808562851165759,"ns","TP2_L","Survival (%)"
"InvSimpson","L","TP1","direct.shoot_root_ratio",-0.168300384862993,0.465848747954294,0.865450426454492,"ns","TP1_L","Shoot:root"
"InvSimpson","L","TP1","direct.dry_total_weight",-0.214121981538892,0.351326558971112,0.808562851165759,"ns","TP1_L","Total weight"
"InvSimpson","L","TP1","direct.per_plant_weight",-0.184982176422582,0.422118287433277,0.821419370140431,"ns","TP1_L","Per plant weight"
"InvSimpson","L","TP1","direct.shoot_moisture",0.332321997090362,0.141061654979263,0.808562851165759,"ns","TP1_L","Shoot moisture"
"InvSimpson","L","TP1","direct.germination_perc",-0.073953392447009,0.750043654126065,0.882738844732058,"ns","TP1_L","Germination"
"InvSimpson","L","TP1","direct.survival_perc.corr",-0.045703515091854,0.844048740821773,0.931972465267248,"ns","TP1_L","Survival (%)"
