"contrast","species","timepoint","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","treat","eff","LCL","UCL","Amendment","metric","amendment","pval","sig","stat","df.r","stat.f","eff_fmt"
"TP2 / TP1","P",NA,0.08066945991288783,18.00000000000002,0.9046387751443241,1.2450418169273016,1,0.7824439899516317,0.44412597353159633,"RW",0.08580396929684114,-0.1445862599731701,0.31619419856685244,"RW","Shannon",NA,0.444,", p > 0.1",0.782,20,"t = 0.782, df = 20, p > 0.1","0.0858 [-0.145 to 0.316]"
"TP2 / TP1","P",NA,0.08857361710390856,18.00000000000002,0.993277115943366,1.367033537722438,1,2.0121778354318263,0.05941221160877426,"BS",0.2206584080502037,-0.009731821219807441,0.4510486373202152,"BS","Shannon",NA,0.0594,", p = 0.0594.",2.01,20,"t = 2.01, df = 20, p = 0.0594.","0.221 [-0.00973 to 0.451]"
"RW / control","L","TP1",0.08271510812355924,35.359364797865965,0.02152308925055822,0.6099520333271983,1,-3.001058031887486,0.0095231204191772445,"SL-0",-3.1256016628042063,-5.537971024213124,-0.7132323013952886,NA,"InvSimpson",NA,0.00952,", p = 0.00952**",-3,40,"t = -3, df = 40, p = 0.00952**","-3.13 [-5.54 to -0.713]"
"BS / control","L","TP1",0.5207729304161413,35.359364797865965,0.135509008147314,3.8402477493542144,1,-0.4523955980759894,0.8501416991505029,"SL-0",-0.47116997357838136,-2.883539334987299,1.9411993878305367,NA,"InvSimpson",NA,0.85,", p > 0.1",-0.452,40,"t = -0.452, df = 40, p > 0.1","-0.471 [-2.88 to 1.94]"
"RW / control","R","TP1",0.6800013295316352,35.359364797865965,0.17694142748559163,5.014418804765888,1,-0.08284865465904491,0.9911967379091694,"SL-0",-0.08628686616917462,-2.4986562275780924,2.3260824952397434,NA,"InvSimpson",NA,0.991,", p > 0.1",-0.0828,40,"t = -0.0828, df = 40, p > 0.1","-0.0863 [-2.5 to 2.33]"
"BS / control","R","TP1",0.890168586176843,35.35936479786589,0.23162851821105207,6.564219662646212,1,0.2902104492517383,0.9280594007499953,"SL-0",0.30225415606971395,-2.1101152053392362,2.7146235174786644,NA,"InvSimpson",NA,0.928,", p > 0.1",0.29,40,"t = 0.29, df = 40, p > 0.1","0.302 [-2.11 to 2.71]"
"RW / control","P","TP1",1.1810774299987996,35.359364797865965,0.3073251732889139,8.709419552090777,1,0.6819080881511275,0.7142033386797183,"SL-0",0.7102072107763591,-1.7021621506325584,3.122576572185277,NA,"InvSimpson",NA,0.714,", p > 0.1",0.682,40,"t = 0.682, df = 40, p > 0.1","0.71 [-1.7 to 3.12]"
"BS / control","P","TP1",1.317258470083898,35.35936479786589,0.34276049757823734,9.713636365498749,1,0.8330697983760655,0.6175343339171646,"SL-0",0.8676421180028075,-1.5447272434061425,3.280011479411758,NA,"InvSimpson",NA,0.618,", p > 0.1",0.833,40,"t = 0.833, df = 40, p > 0.1","0.868 [-1.54 to 3.28]"
"RW / control","L","TP2",1.2011370389320672,35.359364797865965,0.31254483343560757,8.857341733831962,1,0.7052371442732114,0.6994410535334267,"SL-0",0.7345044205710587,-1.6778649408378592,3.1468737819799766,NA,"InvSimpson",NA,0.699,", p > 0.1",0.705,40,"t = 0.705, df = 40, p > 0.1","0.735 [-1.68 to 3.15]"
"BS / control","L","TP2",1.3405671081631787,35.35936479786589,0.34882557938819986,9.88551731340621,1,0.857366473960273,0.6019396918213953,"SL-0",0.8929471033778658,-1.5194222580310852,3.3053164647868165,NA,"InvSimpson",NA,0.602,", p > 0.1",0.857,40,"t = 0.857, df = 40, p > 0.1","0.893 [-1.52 to 3.31]"
"RW / control","R","TP2",1.6087001227569537,35.359364797865965,0.41859579350075304,11.862765257147014,1,1.1099368056074619,0.44560637971590744,"SL-0",1.1559990804417535,-1.2563702809671644,3.568368441850671,NA,"InvSimpson",NA,0.446,", p > 0.1",1.11,40,"t = 1.11, df = 40, p > 0.1","1.16 [-1.26 to 3.57]"
"BS / control","R","TP2",1.4745641568149872,35.359364797865965,0.3836926127859776,10.873629088136717,1,0.989334946756694,0.5184531469839835,"SL-0",1.0303922555966645,-1.3819771058122532,3.442761617005583,NA,"InvSimpson",NA,0.518,", p > 0.1",0.989,40,"t = 0.989, df = 40, p > 0.1","1.03 [-1.38 to 3.44]"
"RW / control","P","TP2",0.6509673196753439,35.359364797865965,0.16938656115446057,4.80031821601936,1,-0.14329268220567712,0.9779979385189247,"SL-0",-0.1492393152717717,-2.56160867668069,2.2631300461371464,NA,"InvSimpson",NA,0.978,", p > 0.1",-0.143,40,"t = -0.143, df = 40, p > 0.1","-0.149 [-2.56 to 2.26]"
"BS / control","P","TP2",0.6015975287891817,35.359364797865965,0.15654017263330947,4.436258916344984,1,-0.2525451904188328,0.9430019253080818,"SL-0",-0.26302579247687907,-2.675395153885797,2.149343568932039,NA,"InvSimpson",NA,0.943,", p > 0.1",-0.253,40,"t = -0.253, df = 40, p > 0.1","-0.263 [-2.68 to 2.15]"
"L / R",NA,"TP1",1.5712046027645437,35.359364797865965,0.3722317886798883,12.725727888745633,1,1.0772681922825194,0.534194601434814,"control",1.1219747226835903,-1.4257268277426092,3.66967627310979,"control","InvSimpson",NA,0.534,", p > 0.1",1.08,40,"t = 1.08, df = 40, p > 0.1","1.12 [-1.43 to 3.67]"
"L / P",NA,"TP1",5.2032831388071425,35.35936479786589,1.2327022122759432,42.14318443063004,1,2.735982840914788,0.02553653767414743,"control",2.849525875908703,0.301824325482438,5.397227426334969,"control","InvSimpson",NA,0.0255,", p = 0.0255*",2.74,40,"t = 2.74, df = 40, p = 0.0255*","2.85 [0.302 to 5.4]"
"R / P",NA,"TP1",2.3907238435874727,35.359364797865965,0.5663828956282536,19.363296821495798,1,1.6587146486322686,0.2351137156170675,"control",1.7275511532251129,-0.820150397201087,4.275252703651312,"control","InvSimpson",NA,0.235,", p > 0.1",1.66,40,"t = 1.66, df = 40, p > 0.1","1.73 [-0.82 to 4.28]"
"L / R",NA,"TP1",0.19112074191298628,35.359364797865965,0.0452781359543657,1.5479527944358507,1,-1.8409411849459218,0.17116573923474865,"RW",-1.9173400739514415,-4.465041624377641,0.6303614764747584,"RW","InvSimpson",NA,0.171,", p > 0.1",-1.84,40,"t = -1.84, df = 40, p > 0.1","-1.92 [-4.47 to 0.63]"
"L / P",NA,"TP1",0.3644046668679147,35.359364797865965,0.08633057764270674,2.951439057517208,1,-0.9469832791238254,0.61464737217958,"RW",-0.9862829976718622,-3.5339845480980623,1.5614185527543376,"RW","InvSimpson",NA,0.615,", p > 0.1",-0.947,40,"t = -0.947, df = 40, p > 0.1","-0.986 [-3.53 to 1.56]"
"R / P",NA,"TP1",1.3764511545903595,35.35936479786589,0.3260930335884615,11.148352553605907,1,0.8939579058220963,0.6476146904831366,"RW",0.9310570762795791,-1.6166444741466859,3.478758626705844,"RW","InvSimpson",NA,0.648,", p > 0.1",0.894,40,"t = 0.894, df = 40, p > 0.1","0.931 [-1.62 to 3.48]"
"L / R",NA,"TP1",0.9191975969172954,35.359364797865965,0.2177657607728216,7.444898311637229,1,0.3346621449547914,0.9402351680064645,"BS",0.3485505930354949,-2.199150957390705,2.896252143461695,"BS","InvSimpson",NA,0.94,", p > 0.1",0.335,40,"t = 0.335, df = 40, p > 0.1","0.349 [-2.2 to 2.9]"
"L / P",NA,"TP1",2.0570974258445314,35.35936479786589,0.4873439480533504,16.66114141715047,1,1.4505174444627327,0.32665205847610324,"BS",1.510713784327514,-1.036987766098751,4.0584153347537795,"BS","InvSimpson",NA,0.327,", p > 0.1",1.45,40,"t = 1.45, df = 40, p > 0.1","1.51 [-1.04 to 4.06]"
