"spikeFac","species","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","trait","amend","asymp.LCL","asymp.UCL","z.ratio","emmean.bt","LCL.bt","UCL.bt"
"2","pea",0.0523746454490145,0.387483582232786,17,-0.765144252500374,0.869893543398403,0.135166102128038,0.894068070406055,"dry_total_weight","BS",NA,NA,NA,1.05377045887613,0.465266810232546,2.38665676463145
"0","lettuce",0.214887936778395,0.144343691409964,18,-0.0883669058745495,0.51814277943134,1.48872413251558,0.153871617669937,"per_plant_weight","RW",NA,NA,NA,1.23972296183245,0.915424940310264,1.67890665243806
"1","lettuce",0.730889061248212,0.144343691409964,18,0.427634218595267,1.03414390390116,5.06353311397825,8.09304503218113e-05,"per_plant_weight","RW",NA,NA,NA,2.0769263017753,1.53362500684926,2.81269726546003
"2","lettuce",0.199361865748641,0.144343691409964,18,-0.103892976904304,0.502616708401586,1.38116092086362,0.1841367313893,"per_plant_weight","RW",NA,NA,NA,1.22062358785955,0.90132175450393,1.65304114295915
"0","radish",-0.43819364902875,0.144343691409964,18,-0.741448491681695,-0.134938806375805,-3.03576584988529,0.00710970835709852,"per_plant_weight","RW",NA,NA,NA,0.645200828245277,0.47642332026467,0.873769379167105
"1","radish",-0.908619411195234,0.144343691409964,18,-1.21187425384818,-0.605364568542289,-6.29483285566376,6.19654520203476e-06,"per_plant_weight","RW",NA,NA,NA,0.403080328258288,0.297638905462134,0.545875381367035
"2","radish",-0.533596572832376,0.144343691409964,18,-0.836851415485321,-0.230341730179431,-3.69670865155345,0.00165071518436013,"per_plant_weight","RW",NA,NA,NA,0.586491811377144,0.433071942644991,0.794262132780127
"0","pea",-0.993543877800149,0.144343691409964,18,-1.29679872045309,-0.690289035147204,-6.88318185640889,1.94461443857994e-06,"per_plant_weight","RW",NA,NA,NA,0.370262199210587,0.273405641459199,0.501431116902243
"1","pea",-0.708136457564009,0.144343691409964,18,-1.01139130021695,-0.404881614911064,-4.9059051396487,0.000113859174936349,"per_plant_weight","RW",NA,NA,NA,0.492561251505512,0.363712593975107,0.66705577564158
"2","pea",-1.16188383134667,0.144343691409964,18,-1.46513867399961,-0.858628988693721,-8.04942578367827,2.2446567481662e-07,"per_plant_weight","RW",NA,NA,NA,0.31289618169228,0.231045949189797,0.423742640201768
"0","lettuce",-0.0805767027658811,0.206449137524619,17,-0.516146309145575,0.354992903613813,-0.390298083741194,0.701163350752313,"per_plant_weight","BS",NA,NA,NA,0.922584136114763,0.59681606663744,1.42617053358869
"1","lettuce",0.53208069095979,0.206449137524619,17,0.0965110845800962,0.967650297339484,2.57729674892122,0.0195770786739931,"per_plant_weight","BS",NA,NA,NA,1.70247094183882,1.10132178876572,2.63175335072041
"2","lettuce",0.847658767220383,0.206449137524619,17,0.412089160840689,1.28322837360008,4.10589638389407,0.000737256739751392,"per_plant_weight","BS",NA,NA,NA,2.3341756012584,1.5099690604379,3.6082697852961
"0","radish",-0.546613566032369,0.206449137524619,17,-0.982183172412063,-0.111043959652675,-2.64769120659167,0.0169216205345787,"per_plant_weight","BS",NA,NA,NA,0.578906924764955,0.374492623775636,0.894899408597163
"1","radish",-0.493952416045336,0.206449137524619,17,-0.92952202242503,-0.0583828096656418,-2.39261070289738,0.0285498350400609,"per_plant_weight","BS",NA,NA,NA,0.610209818596206,0.394742343274838,0.943288778249876
"2","radish",-0.495205793136258,0.206449137524619,17,-0.930775399515952,-0.0596361867565642,-2.39868182097494,0.0282015738344903,"per_plant_weight","BS",NA,NA,NA,0.609445474694552,0.394247892196517,0.942107222327336
"0","pea",-0.883774893459094,0.206449137524619,17,-1.31934449983879,-0.4482052870794,-4.28083596790858,0.000505404314855495,"per_plant_weight","BS",NA,NA,NA,0.413220101957246,0.267310466603306,0.638773538617006
"1","pea",-0.0265911916300037,0.206449137524619,17,-0.462160798009698,0.40897841474969,-0.128802628816179,0.899025395232218,"per_plant_weight","BS",NA,NA,NA,0.973759241094137,0.629921041748077,1.50527922830596
"2","pea",-0.843505089165014,0.252847522386494,17,-1.3769667307126,-0.310043447617431,-3.33602275871092,0.00391345318468497,"per_plant_weight","BS",NA,NA,NA,0.430199988377499,0.252342817081432,0.733415090393782
"0","lettuce",2.89939280714524,0.112744966515966,18,2.66252442206561,3.13626119222487,25.7163835933611,1.20845011921987e-15,"shoot_moisture","RW",NA,NA,NA,18.1631135078061,14.3324245577196,23.0176472214367
"1","lettuce",2.80995160940511,0.112744966515966,18,2.57308322432548,3.04681999448474,24.9230781314497,2.09323596766901e-15,"shoot_moisture","RW",NA,NA,NA,16.60911447441,13.1061714762011,21.0483041615152
"2","lettuce",2.85197796167985,0.112744966515966,18,2.61510957660021,3.08884634675948,25.2958340386395,1.61371636261271e-15,"shoot_moisture","RW",NA,NA,NA,17.3220102506602,13.6687140670532,21.9517386677372
"0","radish",3.04005419100665,0.112744966515966,18,2.80318580592701,3.27692257608628,26.9639903664891,5.25772241765874e-16,"shoot_moisture","RW",NA,NA,NA,20.9063761419643,16.4971197642538,26.4941134958817
"1","radish",3.41272291349792,0.112744966515966,18,3.17585452841829,3.64959129857755,30.2694037610506,6.84563563242608e-17,"shoot_moisture","RW",NA,NA,NA,30.3477662005789,23.9472747543078,38.4589446111954
"2","radish",2.96686996099149,0.112744966515966,18,2.73000157591186,3.20373834607112,26.3148773082596,8.0688231845364e-16,"shoot_moisture","RW",NA,NA,NA,19.4310045103747,15.3329111832047,24.6244129226926
"0","pea",2.44427945943714,0.112744966515966,18,2.20741107435751,2.68114784451678,21.6797213655742,2.38341271274428e-14,"shoot_moisture","RW",NA,NA,NA,11.52224436263,9.09214700398313,14.6018443271977
"1","pea",2.14324417009461,0.112744966515966,18,1.90637578501497,2.38011255517424,19.0096661192506,2.31029413148678e-13,"shoot_moisture","RW",NA,NA,NA,8.52705602542798,6.72865845007084,10.8061190801002
"2","pea",2.57000714020046,0.112744966515966,18,2.33313875512083,2.80687552528009,22.7948725306199,9.95851729632905e-15,"shoot_moisture","RW",NA,NA,NA,13.0659177338733,10.3102521557016,16.5581019406919
"0","lettuce",3.06970855034416,0.155307937291013,17,2.74203744488642,3.39737965580189,19.7653037178145,3.62918276353793e-13,"shoot_moisture","BS",NA,NA,NA,21.5356252097085,15.5185711414169,29.8856865717013
"1","lettuce",3.08205710473725,0.155307937291013,17,2.75438599927951,3.40972821019499,19.8448138485166,3.39887680980725e-13,"shoot_moisture","BS",NA,NA,NA,21.8032077777224,15.7113911351477,30.2570195923052
