contrast,amend,crop,trait,Est_CL,stat.f
quadratic,BS,pea,survival_perc.corr,0.763 [-0.792 to 2.32],"t = 1.03, df = 18, p > 0.1"
linear,RW,pea,dry_pod_weight.corr,-0.128 [-2.23 to 1.98],"t = -0.149, df = 6, p > 0.1"
quadratic,RW,pea,dry_pod_weight.corr,2.36 [-1.29 to 6],"t = 1.58, df = 6, p > 0.1"
linear,BS,pea,dry_pod_weight.corr,-0.272 [-3.82 to 3.27],"t = -0.213, df = 4, p > 0.1"
quadratic,BS,pea,dry_pod_weight.corr,-0.152 [-5.17 to 4.86],"t = -0.0844, df = 4, p > 0.1"
linear,RW,pea,per_pod_weight,0.168 [-0.725 to 1.06],"t = 0.459, df = 6, p > 0.1"
quadratic,RW,pea,per_pod_weight,0.689 [-0.857 to 2.24],"t = 1.09, df = 6, p > 0.1"
linear,BS,pea,per_pod_weight,0.537 [-0.578 to 1.65],"t = 1.34, df = 4, p > 0.1"
quadratic,BS,pea,per_pod_weight,-0.578 [-2.15 to 0.999],"t = -1.02, df = 4, p > 0.1"
linear,RW,pea,pods,-0.273 [-0.713 to 0.166],"z = -1.22, p > 0.1"
quadratic,RW,pea,pods,0.946 [0.0474 to 1.85],"z = 2.06, p = 0.0391*"
linear,BS,pea,pods,-1.83 [-3.02 to -0.637],"z = -3.01, p = 0.00262**"
quadratic,BS,pea,pods,-0.58 [-2.14 to 0.983],"z = -0.727, p > 0.1"
linear,RW,pea,flowers,-5.41e-16 [-0.769 to 0.769],"z = -1.38e-15, p > 0.1"
quadratic,RW,pea,flowers,-0.148 [-1.45 to 1.15],"z = -0.224, p > 0.1"
linear,BS,pea,flowers,-0.511 [-2.15 to 1.13],"z = -0.611, p > 0.1"
quadratic,BS,pea,flowers,-1.18 [-3.39 to 1.03],"z = -1.05, p > 0.1"
linear,RW,all,germination_perc,-0.0208 [-0.199 to 0.158],"t = -0.245, df = 18, p > 0.1"
quadratic,RW,all,germination_perc,0.474 [0.165 to 0.783],"t = 3.22, df = 18, p = 0.00471**"
linear,RW,all,survival_perc.corr,-0.00766 [-0.231 to 0.216],"t = -0.072, df = 18, p > 0.1"
quadratic,RW,all,survival_perc.corr,0.514 [0.127 to 0.902],"t = 2.79, df = 18, p = 0.0121*"
linear,BS,all,germination_perc,-0.539 [-1.11 to 0.0312],"t = -1.99, df = 18, p = 0.0625."
quadratic,BS,all,germination_perc,-0.0568 [-1.05 to 0.932],"t = -0.121, df = 18, p > 0.1"
linear,BS,all,survival_perc.corr,-0.632 [-1.15 to -0.113],"t = -2.56, df = 18, p = 0.0197*"
quadratic,BS,all,survival_perc.corr,0.176 [-0.722 to 1.07],"t = 0.412, df = 18, p > 0.1"
