species,sample_ID,spiking_level,source,treat,plants,wet_shoot_weight,dry_shoot_weight,dry_shoot_weight_notes,wet_root_weight,dry_root_weight,pods,flowers,wet_pod_weight,dry_pod_weight,seeds_planted1,seeds_germinated,seeds_planted2,seeds_germinated2,planting_date1,planting_date2,fungus_presence,infected_peas
radish,50,2,biosolids,S2_BS,15,184.27,6.5692,,15.49,0.9482,NA,NA,NA,NA,20,19,NA,NA,2024-07-04,NA,0,NA
radish,42,1,biosolids,S1_BS,15,295.26,6.8007,,14.93,0.9977,NA,NA,NA,NA,20,19,NA,NA,2024-07-04,NA,0,NA
radish,4,0,effluents,S0_EF,15,156.93,6.9235,,35.64,4.2911,NA,NA,NA,NA,20,20,NA,NA,2024-07-04,NA,0,NA
radish,51,2,biosolids,S2_BS,15,286.61,7.2335,,18.86,1.5003,NA,NA,NA,NA,20,20,NA,NA,2024-07-04,NA,0,NA
radish,58,0,NA,controls,15,165.93,7.2371,,13.74,0.9321,NA,NA,NA,NA,20,18,NA,NA,2024-07-04,NA,0,NA
radish,6,0,effluents,S0_EF,15,171.15,7.4835,,15.79,1.1932,NA,NA,NA,NA,20,19,NA,NA,2024-07-04,NA,0,NA
radish,23,2,effluents,S2_EF,15,156.22,7.6455,,23.7,2.81,NA,NA,NA,NA,20,19,NA,NA,2024-07-04,NA,0,NA
radish,40,1,biosolids,S1_BS,15,212.79,7.6472,,18.73,1.0177,NA,NA,NA,NA,20,17,NA,NA,2024-07-04,NA,0,NA
radish,32,0,biosolids,S0_BS,15,293.48,7.8937,,16.94,1.0087,NA,NA,NA,NA,20,17,NA,NA,2024-07-04,NA,0,NA
radish,59,0,NA,controls,15,124.49,8.457,,28.22,3.0007,NA,NA,NA,NA,20,20,NA,NA,2024-07-04,NA,0,NA
radish,31,0,biosolids,S0_BS,15,314.28,8.6894,,26.89,1.8802,NA,NA,NA,NA,20,16,NA,NA,2024-07-04,NA,0,NA
radish,49,2,biosolids,S2_BS,15,289.84,8.9714,,29.4,2.6647,NA,NA,NA,NA,20,17,NA,NA,2024-07-04,NA,0,NA
radish,41,1,biosolids,S1_BS,15,265.03,9.2045,,25.4,2.1441,NA,NA,NA,NA,20,17,NA,NA,2024-07-04,NA,0,NA
