"spikeFac","species","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","metric","time","amend"
"SL1","P",0.879413365990523,0.232172349845501,18,0.391637359065557,1.36718937291549,3.78776097401663,0.00134764846379357,"InvSimpson.c","TP2","RW"
"SL2","P",1.43506915430658,0.232172349845501,18,0.947293147381613,1.92284516123154,6.18105108235992,7.79494845852746e-06,"InvSimpson.c","TP2","RW"
"US","L",1.86784750251175,0.0499839699153019,18,1.76283507845795,1.97285992656555,37.3689305926845,1.6329647313441e-18,"Shannon","TP1","BS"
"SL1","L",1.86002298463047,0.0499839699153019,18,1.75501056057667,1.96503540868428,37.2123900478952,1.75952034925513e-18,"Shannon","TP1","BS"
"SL2","L",1.86543841812959,0.0499839699153019,18,1.76042599407579,1.9704508421834,37.3207334529568,1.67087383750832e-18,"Shannon","TP1","BS"
"US","R",1.79389956752257,0.0499839699153019,18,1.68888714346876,1.89891199157637,35.8894975841723,3.34797205624676e-18,"Shannon","TP1","BS"
"SL1","R",1.84341416862364,0.0499839699153019,18,1.73840174456983,1.94842659267744,36.8801071973137,2.06371110930917e-18,"Shannon","TP1","BS"
"SL2","R",1.84219587357241,0.0499839699153019,18,1.73718344951861,1.94720829762621,36.8557334820347,2.08810733511032e-18,"Shannon","TP1","BS"
"US","P",1.70624840696023,0.0499839699153019,18,1.60123598290642,1.81126083101403,34.1359121704713,8.14700703419253e-18,"Shannon","TP1","BS"
"SL1","P",1.72093521294598,0.0499839699153019,18,1.61592278889217,1.82594763699978,34.4297424926853,6.99773641547529e-18,"Shannon","TP1","BS"
"SL2","P",1.79674666187248,0.0499839699153019,18,1.69173423781868,1.90175908592629,35.9464577326907,3.25496937016032e-18,"Shannon","TP1","BS"
"US","L",1.88671678412898,0.0163329572416579,18,1.85240251427767,1.92103105398029,115.515932369971,2.71124082212059e-27,"Shannon","TP2","BS"
"SL1","L",1.86570920406754,0.0163329572416579,18,1.83139493421623,1.90002347391886,114.22972438261,3.31577059450578e-27,"Shannon","TP2","BS"
"SL2","L",1.88782091827467,0.0163329572416579,18,1.85350664842336,1.92213518812599,115.583533976303,2.68287528233366e-27,"Shannon","TP2","BS"
"US","R",1.85610182436036,0.0163329572416579,18,1.82178755450905,1.89041609421168,113.641503917386,3.63823041688295e-27,"Shannon","TP2","BS"
"SL1","R",1.83755243946597,0.0163329572416579,18,1.80323816961466,1.87186670931728,112.505801140483,4.35815164750524e-27,"Shannon","TP2","BS"
"SL2","R",1.8087170251463,0.0163329572416579,18,1.77440275529499,1.84303129499762,110.740326958862,5.79131175856633e-27,"Shannon","TP2","BS"
"US","P",1.85950308788126,0.0163329572416579,18,1.82518881802995,1.89381735773258,113.849749336178,3.52044186596726e-27,"Shannon","TP2","BS"
"SL1","P",1.83717865807735,0.0163329572416579,18,1.80286438822604,1.87149292792866,112.482916038716,4.37411796873343e-27,"Shannon","TP2","BS"
"SL2","P",1.84567616614384,0.0163329572416579,18,1.81136189629252,1.87999043599515,113.003183614316,4.0259180621578e-27,"Shannon","TP2","BS"
"US","L",0.69487939433959,0.43470003448649,18,-0.218391489006617,1.6081502776858,1.5985262001657,0.127331427296253,"InvSimpson.c","TP1","BS"
"SL1","L",0.625871440572122,0.43470003448649,18,-0.287399442774085,1.53914232391833,1.43977775688806,0.167096156389816,"InvSimpson.c","TP1","BS"
"SL2","L",0.779635090154447,0.43470003448649,18,-0.13363579319176,1.69290597350065,1.79350133034939,0.0897112399534378,"InvSimpson.c","TP1","BS"
"US","R",0.427681486188418,0.43470003448649,18,-0.485589397157788,1.34095236953462,0.983854272506873,0.338227815026681,"InvSimpson.c","TP1","BS"
"SL1","R",0.440807676606626,0.43470003448649,18,-0.472463206739581,1.35407855995283,1.01405024530847,0.323996454687736,"InvSimpson.c","TP1","BS"
"SL2","R",0.604561471119828,0.43470003448649,18,-0.308709412226379,1.51783235446603,1.39075551681056,0.181255372004956,"InvSimpson.c","TP1","BS"
"US","P",-0.366082822314162,0.43470003448649,18,-1.27935370566037,0.547188061032045,-0.842150433106393,0.410753983843911,"InvSimpson.c","TP1","BS"
"SL1","P",-0.553689235819909,0.43470003448649,18,-1.46696011916612,0.359581647526298,-1.27372714951353,0.218962438539789,"InvSimpson.c","TP1","BS"
"SL2","P",0.314549456824941,0.43470003448649,18,-0.598721426521266,1.22782034017115,0.723601177525825,0.478609720047202,"InvSimpson.c","TP1","BS"
"US","L",1.2803668551784,0.123307551092968,18,1.02130730335904,1.53942640699776,10.3835235054913,4.98909881836858e-09,"InvSimpson.c","TP2","BS"
"SL1","L",1.2209636059174,0.123307551092968,18,0.961904054098033,1.48002315773676,9.90177483126601,1.03938704328117e-08,"InvSimpson.c","TP2","BS"
"SL2","L",1.32590299751217,0.123307551092968,18,1.06684344569281,1.58496254933153,10.7528126684837,2.88996126273684e-09,"InvSimpson.c","TP2","BS"
"US","R",1.07964895002422,0.123307551092968,18,0.820589398204852,1.33870850184358,8.7557407511095,6.62112052335387e-08,"InvSimpson.c","TP2","BS"
"SL1","R",1.05822136298842,0.123307551092968,18,0.799161811169057,1.31728091480779,8.58196723240877,8.8887143628072e-08,"InvSimpson.c","TP2","BS"
"SL2","R",0.754226359632185,0.123307551092968,18,0.49516680781282,1.01328591145155,6.11662751345645,8.88325200824607e-06,"InvSimpson.c","TP2","BS"
"US","P",1.06227640450067,0.123307551092968,18,0.803216852681306,1.32133595632003,8.61485282194734,8.40442285940259e-08,"InvSimpson.c","TP2","BS"
"SL1","P",1.04399770343396,0.123307551092968,18,0.784938151614599,1.30305725525333,8.46661614945901,1.08305369401738e-07,"InvSimpson.c","TP2","BS"
"SL2","P",1.03936884997724,0.123307551092968,18,0.780309298157877,1.2984284017966,8.42907705784869,1.15540179266432e-07,"InvSimpson.c","TP2","BS"
